Датчик линии: Direction [-1,0,0] (m);Датчик линии: Temperature (K);Датчик линии: Direction [-1,0,0] (m);Датчик линии: Mass Fraction of Nitrogen Oxide Emission;Датчик линии: Direction [-1,0,0] (m);Датчик линии: Mass Fraction of CO;Датчик линии: Direction [-1,0,0] (m);Датчик линии: Mass Fraction of CO2
7,890979999999871;949,8171089753221;7,890979999999871;4,15154020788936E-5;7,890979999999871;9,422701080450713E-6;7,890979999999871;0,03291182503644472
7,8197999999998675;958,5578239063013;7,8197999999998675;4,196201409742537E-5;7,8197999999998675;9,006920480542306E-5;7,8197999999998675;0,033364739224558626
7,748619999999864;963,4328646464347;7,748619999999864;4,209275971923119E-5;7,748619999999864;1,8094926015447917E-4;7,748619999999864;0,03357145660540904
7,67743999999986;972,4264736936286;7,67743999999986;4,22799781213618E-5;7,67743999999986;4,141092437588738E-4;7,67743999999986;0,03388665521192735
7,606259999999857;981,1237915242365;7,606259999999857;4,233090378800045E-5;7,606259999999857;7,379721092733268E-4;7,606259999999857;0,034093262631455935
7,535079999999854;987,679282529155;7,535079999999854;4,2416353820527844E-5;7,535079999999854;9,909181790626242E-4;7,535079999999854;0,034237885860069574
7,463899999999851;994,3469187491405;7,463899999999851;4,23367501005854E-5;7,463899999999851;0,0013066149252246332;7,463899999999851;0,034336043564810695
7,392719999999848;1003,5154021338968;7,392719999999848;4,2118670134646145E-5;7,392719999999848;0,0018464825661110207;7,392719999999848;0,034362002291166475
7,321539999999844;1011,7820714291565;7,321539999999844;4,197551917271528E-5;7,321539999999844;0,0022169564150642447;7,321539999999844;0,03450327670626865
7,250359999999841;1021,7037831786665;7,250359999999841;4,1898999741760525E-5;7,250359999999841;0,002542731936811255;7,250359999999841;0,03478916817944159
7,179179999999837;1032,6672410717993;7,179179999999837;4,1919205250757406E-5;7,179179999999837;0,0029158008376952596;7,179179999999837;0,03510543129045306
7,1079999999998345;1041,5534920167402;7,1079999999998345;4,196781899151901E-5;7,1079999999998345;0,003097590435290929;7,1079999999998345;0,03548617615703405
7,03681999999983;1055,5123757025415;7,03681999999983;4,218696409013386E-5;7,03681999999983;0,0031135490259071013;7,03681999999983;0,036359641478063844
6,965639999999827;1068,3654145184616;6,965639999999827;4,256858719932348E-5;6,965639999999827;0,0029318981079067027;6,965639999999827;0,03737330111302179
6,894459999999825;1087,428822504688;6,894459999999825;4,3304656639726924E-5;6,894459999999825;0,0023587358718423768;6,894459999999825;0,039177828312228186
6,823279999999821;1102,9342769709242;6,823279999999821;4,4095721586094686E-5;6,823279999999821;0,001764954521410366;6,823279999999821;0,04077883817559413
6,7520999999998175;1118,2273133217288;6,7520999999998175;4,503263879512305E-5;6,7520999999998175;0,0013632483281654929;6,7520999999998175;0,04217307577974578
6,680919999999814;1136,4076696134193;6,680919999999814;4,636777458438004E-5;6,680919999999814;8,672455491045218E-4;6,680919999999814;0,04385085458259064
6,60973999999981;1150,6715814206302;6,60973999999981;4,7715954575472324E-5;6,60973999999981;5,700192481734208E-4;6,60973999999981;0,045088384602921576
6,538559999999808;1164,0076426453052;6,538559999999808;4,904323922824912E-5;6,538559999999808;5,991214461293304E-4;6,538559999999808;0,04595523261464339
6,467379999999804;1176,4469164775505;6,467379999999804;5,0572195002232856E-5;6,467379999999804;6,575067385528982E-4;6,467379999999804;0,04673632037447281
6,3961999999998005;1192,0466387255517;6,3961999999998005;5,284199875999371E-5;6,3961999999998005;7,970745307269791E-4;6,3961999999998005;0,047667843162157324
6,325019999999797;1202,821964814985;6,325019999999797;5,460337571628881E-5;6,325019999999797;0,0010727547493184577;6,325019999999797;0,04814579534885435
6,253839999999794;1218,3091444298407;6,253839999999794;5,71733106606747E-5;6,253839999999794;0,0014535249730142166;6,253839999999794;0,04886858169481218
6,182659999999791;1238,0861961669898;6,182659999999791;6,0693966433377576E-5;6,182659999999791;0,0018974205325141091;6,182659999999791;0,0498455916184425
6,111479999999787;1252,1527117457895;6,111479999999787;6,34079019036607E-5;6,111479999999787;0,002422728479189182;6,111479999999787;0,05035674454528261
6,0402999999997835;1275,0209734726184;6,0402999999997835;6,752182752922922E-5;6,0402999999997835;0,0027940818167187294;6,0402999999997835;0,051646418395297704
5,969119999999781;1292,748538290139;5,969119999999781;7,070362121490417E-5;5,969119999999781;0,002947082827581326;5,969119999999781;0,05278097699557213
5,897939999999777;1318,090774449619;5,897939999999777;7,45581705362166E-5;5,897939999999777;0,0027592992889508812;5,897939999999777;0,05475661662581178
5,826759999999775;1336,8846336043223;5,826759999999775;7,741060744740255E-5;5,826759999999775;0,0029878080193357416;5,826759999999775;0,055925087993980736
5,75557999999977;1368,3087210466729;5,75557999999977;8,137575108782576E-5;5,75557999999977;0,0024747859038537993;5,75557999999977;0,05862834675641109
5,684399999999767;1389,1142598270924;5,684399999999767;8,412512543736129E-5;5,684399999999767;0,002041256056809358;5,684399999999767;0,06049049083532734
5,613219999999764;1425,283948288106;5,613219999999764;8,89887309759796E-5;5,613219999999764;0,001350493787324128;5,613219999999764;0,06365426075561366
5,54203999999976;1444,7495282016246;5,54203999999976;9,193430968972963E-5;5,54203999999976;0,0010319601240549074;5,54203999999976;0,06531358753733461
5,470859999999757;1462,215861898328;5,470859999999757;9,467433194350778E-5;5,470859999999757;8,830829601928346E-4;5,470859999999757;0,06671944155160628
5,399679999999754;1481,717461203558;5,399679999999754;9,808972990594301E-5;5,399679999999754;5,943614130788343E-4;5,399679999999754;0,0683780997254947
5,32849999999975;1508,1705230785938;5,32849999999975;1,0250549711147354E-4;5,32849999999975;4,3219900504941187E-4;5,32849999999975;0,07047916337506038
5,257319999999747;1529,5973681958365;5,257319999999747;1,0622521351252283E-4;5,257319999999747;4,85389202394952E-4;5,257319999999747;0,07205282981718684
5,186139999999744;1550,8792232180547;5,186139999999744;1,0952909618363826E-4;5,186139999999744;5,907841909681922E-4;5,186139999999744;0,07359820834295473
5,114959999999741;1566,1750495108874;5,114959999999741;1,1254831498582735E-4;5,114959999999741;5,77189007035903E-4;5,114959999999741;0,07475812198074654
5,043779999999738;1588,961079368549;5,043779999999738;1,1583818998259724E-4;5,043779999999738;7,2532603421317E-4;5,043779999999738;0,07642019200356555
4,9725999999997335;1606,962337030761;4,9725999999997335;1,1879738189848818E-4;4,9725999999997335;7,589688179288467E-4;4,9725999999997335;0,07778307514847277
4,90141999999973;1631,6843218699953;4,90141999999973;1,22452999340003E-4;4,90141999999973;9,15902545261598E-4;4,90141999999973;0,0796066408621353
4,830239999999727;1652,703105874096;4,830239999999727;1,2576967130887602E-4;4,830239999999727;0,0010528515572667861;4,830239999999727;0,08116338898816386
4,759059999999724;1678,2932564226578;4,759059999999724;1,302493033478346E-4;4,759059999999724;0,0012724576183996638;4,759059999999724;0,08304067369981016
4,68787999999972;1716,3383251774783;4,68787999999972;1,3574726058823624E-4;4,68787999999972;0,0015930491531228263;4,68787999999972;0,08589847824962117
4,616699999999717;1742,8847920166786;4,616699999999717;1,3933063753148074E-4;4,616699999999717;0,0018234051146318426;4,616699999999717;0,08790680253047015
4,545519999999713;1759,3584344548865;4,545519999999713;1,409981661159537E-4;4,545519999999713;0,0020125868309687424;4,545519999999713;0,08913471500689402
